R_m,U0_keV,U0_eV,U0_J,B_T,NI_At,I_coil_A,P_rad_1uA_W,P_rad_1mA_W,P_rad_1A_W,P_mag_A10mm2_W,P_mag_A1mm2_W
100.0,71.685,71685.0,1.1485203200828999e-14,0.10006922855944562,3185.3024753256877,31.85302475325688,0.071685,71.685,71685.0,535.5012792096816,5355.012792096815
1000.0,7.1685,7168.5,1.1485203200829e-15,0.010006922855944561,318.5302475325687,3.185302475325687,0.0071684999999999995,7.1685,7168.5,53.55012792096811,535.5012792096812
10000.0,0.71685,716.85,1.1485203200829e-16,0.0010006922855944561,31.853024753256868,0.3185302475325687,0.00071685,0.71685,716.85,5.355012792096813,53.55012792096813
